57,46|39,74|36,42|20,22|38,47|34,89|20,22|21,4| 985,7|
56,38|39,74|36,69|21,83|38,46|35,19|21,83|21,6| 985,7|
55,84|39,76|36,72|21,84|38,46|35,19|21,84|21,5| 985,8|
55,31|39,74|36,99|23,44|38,46|35,48|23,44|21,4| 985,7|
54,23|39,72|36,97|23,42|38,46|35,48|23,42|21,4| 985,8|
54,77|39,78|37,03|23,47|38,46|35,48|23,47|21,4| 985,7|
54,23|39,78|37,13|24,01|38,47|35,58|24,01|21,4| 985,8|
53,69|39,79|37,25|24,57|38,47|35,68|24,57|21,6| 985,7|
53,69|39,76|37,11|24,00|38,47|35,59|24,00|21,4| 985,8|
53,69|39,76|37,21|24,53|38,47|35,68|24,53|21,4| 985,7|
53,69|39,76|37,21|24,54|38,47|35,69|24,54|21,4| 985,8|
53,69|39,78|37,23|24,56|38,48|35,70|24,56|21,4| 985,8|
53,15|39,79|37,35|25,12|38,48|35,80|25,12|21,5| 985,8|
53,69|39,79|37,25|24,59|38,48|35,70|24,59|21,5| 985,7|
53,15|39,78|37,43|25,64|38,48|35,90|25,64|21,4| 985,7|
53,15|39,78|37,23|24,57|38,48|35,70|24,57|21,4| 985,8|
53,69|39,76|37,21|24,55|38,49|35,70|24,55|21,4| 985,8|
52,62|39,76|37,40|25,63|38,49|35,90|25,63|21,3| 985,7|
52,62|39,76|37,40|25,64|38,50|35,91|25,64|21,4| 985,8|
52,62|39,79|37,45|25,67|38,49|35,91|25,67|21,4| 985,7|
53,15|39,79|37,45|25,68|38,50|35,92|25,68|21,4| 985,7|
52,62|39,76|37,50|26,19|38,51|36,02|26,19|21,4| 985,7|
52,62|39,79|37,47|25,70|38,50|35,92|25,70|21,5| 985,7|
52,62|39,76|37,40|25,65|38,50|35,92|25,65|21,4| 985,7|
52,62|39,78|37,43|25,66|38,50|35,92|25,66|21,4| 985,7|
52,62|39,81|37,47|25,70|38,51|35,92|25,70|21,4| 985,7|
52,62|39,78|37,43|25,66|38,51|35,92|25,66|21,4| 985,7|
52,08|39,78|37,52|26,20|38,50|36,02|26,20|21,5| 985,7|
52,62|39,79|37,35|25,15|38,51|35,83|25,15|21,4| 985,7|
52,62|39,81|37,47|25,71|38,51|35,93|25,71|21,4| 985,7|
52,62|39,83|37,49|25,74|38,52|35,94|25,74|21,4| 985,7|
52,08|39,83|37,49|25,74|38,52|35,94|25,74|21,4| 985,7|
52,62|39,78|37,43|25,67|38,51|35,93|25,67|21,4| 985,7|
52,62|39,79|37,45|25,69|38,52|35,94|25,69|21,4| 985,7|
52,62|39,81|37,57|26,26|38,53|36,05|26,26|21,2| 985,7|
52,62|39,83|37,49|25,75|38,53|35,96|25,75|21,4| 985,7|
52,08|39,83|37,59|26,29|38,54|36,06|26,29|21,4| 985,8|
52,08|39,85|37,51|25,77|38,54|35,96|25,77|21,4| 985,7|
52,62|39,85|37,51|25,77|38,54|35,97|25,77|21,4| 985,7|
52,08|39,81|37,47|25,74|38,54|35,97|25,74|21,5| 985,7|
52,08|39,81|37,57|26,28|38,54|36,07|26,28|21,4| 985,7|
52,08|39,81|37,57|26,28|38,55|36,07|26,28|21,4| 985,7|
52,62|39,81|37,47|25,74|38,54|35,96|25,74|21,4| 985,6|
52,08|39,79|37,55|26,26|38,54|36,06|26,26|21,4| 985,7|
52,08|39,81|37,47|25,74|38,55|35,97|25,74|21,3| 985,7|
